slug,name,source_id,in,out
dryft-sleep-product,Dryft Sleep product,1zP47vHs6MgFiwiKzGHRXiW8lrc3lh6BO,18,21
bess-sean-podcast,Bess & Sean - Old Podcast,1kjxpA__zg4O2RCkylC5cPLvoosXrkq0A,0,3
klaviyo-walking,Walking in Klaviyo event space,1cQ3NitKGYa1c4e--fehHg9eXAZ4_sjI4,7,11
shoptalk-walking,Sean walking at Shoptalk talking,1E84Z6zKpVVUDcihIVQ6L6hbSFyUbOxrb,0,4
shoptalk-stage-aa,Sean on stage Shoptalk rebuy,1XuPAArGjpESm3JUhjU7Q3gVmz4L_y72Z,12,14
shoptalk-stage-ab,Sean on stage Shoptalk rebuy,1XuPAArGjpESm3JUhjU7Q3gVmz4L_y72Z,362,365
sean-mason-2women,Sean & Mason talking to 2 women,1GycuM9sO1RClaXwnU7sdYi6HOqr6p15I,5,7
limitless-sign,Limitless growth rebuy sign,1dNYc4_WmlkTcBxo9J51bXnFXYsDtm1TF,18,20
sean-laptop-man,Sean holding laptop talking to man,1HVH9tFgvcAfS-YczxU_aiLOmUxm18Ofu,3,7
zoom-handshake,"Sean talk 2 guys, Mason handshake",1reXIHROlDwRj2wAV-FQeVcoCzyakM2df,0,4
sean-laughing,Sean laughing over Mason shoulder,1oVTj4XGGc0JKgHr9jI2Chue_hLYais9O,2,5
klaviyo-booths,Walking around Klaviyo booths,1my1K0R_aiMAc4Vdi3z3eyu5RC0-jcGeM,0,4
angle-laptop-think,Angle over laptop - Sean thinking,1x1uT_kVmPod-vpPn5SVIGY4kUZmfCwBo,4,8
car-into-hotel,Car driving into hotel in LA,1vmYi5ZP_zYfXkxcm57lQdwwCGJRDI0s7,5,7
walking-industrial,Sean & Mason walking away - industrial,1ORRLYbkYhSU3NIaLTEcZ36tGhUFybGti,19,22
following-sean,Following Sean walking in,1vk6MsGPlFBwNjRb_CvsJ17lq6EokzIXi,12,15
sean-into-car,Sean getting into car,1mMQyiHcU5cb6KKnzUajxnTxOqKJlLgDj,2,10
dryft-store-walk,Dryft & Sean walking in store,1jHsUTe013mdBLjB6VQvJmjzwj0r6cXzT,21,25
sweetEs-packinga,Sweet Es Erica packing cake,1cF3UR7rqtK27rx9HUh5H7Wt_yipf8fhp,3,7
sweetEs-packingb,Sweet Es Erica packing cake,1cF3UR7rqtK27rx9HUh5H7Wt_yipf8fhp,29,45
sweetEs-packingc,Sweet Es Erica packing cake,1cF3UR7rqtK27rx9HUh5H7Wt_yipf8fhp,60,63
sweetEs-sprinkle,Sweet Es sprinkle on cupcakes,13dyHmvfYPQCPA84j_Kz8HsH9sf_hAUTy,1,3
sweetEs-cookie,Sweet Es cookie scroll,1Cy939sI_20AioB9loydrqhbavZ-m_xcS,1,5
dryft-hold,Dryft hold product,1RapxMHiEtRmM6ig2GKFSSeCSHU4PA_U1,10,12
pacificiq-reel,Pacific IQ reel,1Az_P577iqasuJeGVJuptFgfipG5jIKQC,0,5
