# shot	src_f0	src_f1	src_frames	out_frames	stretch	ydif
0	0	17	17	23	1.3529	6.09
1	17	33	16	39	2.4375	0.25
2	33	50	17	36	2.1176	2.10
3	50	69	19	23	1.2105	8.83
4	69	87	18	44	2.4444	0.20
5	87	102	15	37	2.4667	0.83
6	102	123	21	29	1.3810	6.23
7	123	149	26	47	1.8077	3.26
8	149	168	19	23	1.2105	9.37
9	168	191	23	41	1.7826	3.29
10	191	211	20	38	1.9000	2.89
11	211	228	17	39	2.2941	1.68
12	228	251	23	35	1.5217	4.89
13	251	272	21	40	1.9048	2.74
14	272	299	27	43	1.5926	4.45
15	299	326	27	35	1.2963	7.01
16	326	352	26	39	1.5000	5.00
17	352	371	19	39	2.0526	2.24
18	371	395	24	50	2.0833	2.16
19	395	416	21	31	1.4762	5.12
20	416	440	24	29	1.2083	10.50
21	440	445	5	6	1.2000	14.47
22	445	468	23	45	1.9565	2.61
23	468	493	25	61	2.4400	0.73
24	493	512	19	47	2.4737	0.63
25	512	541	29	40	1.3793	6.08
26	541	571	30	72	2.4000	1.42
27	571	599	28	48	1.7143	3.67
28	599	627	28	52	1.8571	2.95
29	627	661	34	45	1.3235	6.43
30	661	685	24	29	1.2083	8.01
31	685	709	24	59	2.4583	1.21
32	709	738	29	39	1.3448	6.37
33	738	765	27	37	1.3704	6.14
34	765	790	25	30	1.2000	14.66
35	790	806	16	28	1.7500	3.56
36	806	832	26	43	1.6538	4.05
