# Reference only — the montage now plays at NATIVE speed, so nothing here
# drives the build. Kept because the shot boundaries and the measured motion
# energy per shot are useful if the edit is ever recut.
# shot	src_f0	src_f1	src_frames	src_in_s	ydif
0	0	17	17	0.000	6.09
1	17	33	16	0.567	0.25
2	33	50	17	1.100	2.10
3	50	69	19	1.667	8.83
4	69	87	18	2.300	0.20
5	87	102	15	2.900	0.83
6	102	123	21	3.400	6.23
7	123	149	26	4.100	3.26
8	149	168	19	4.967	9.37
9	168	191	23	5.600	3.29
10	191	211	20	6.367	2.89
11	211	228	17	7.033	1.68
12	228	251	23	7.600	4.89
13	251	272	21	8.367	2.74
14	272	299	27	9.067	4.45
15	299	326	27	9.967	7.01
16	326	352	26	10.867	5.00
17	352	371	19	11.733	2.24
18	371	395	24	12.367	2.16
19	395	416	21	13.167	5.12
20	416	440	24	13.867	10.50
21	440	445	5	14.667	14.47
22	445	468	23	14.833	2.61
23	468	493	25	15.600	0.73
24	493	512	19	16.433	0.63
25	512	541	29	17.067	6.08
26	541	571	30	18.033	1.42
27	571	599	28	19.033	3.67
28	599	627	28	19.967	2.95
29	627	661	34	20.900	6.43
30	661	685	24	22.033	8.01
31	685	709	24	22.833	1.21
32	709	738	29	23.633	6.37
33	738	765	27	24.600	6.14
34	765	790	25	25.500	14.66
35	790	806	16	26.333	3.56
36	806	832	26	26.867	4.05
